"isSpam","isRe","underscore","priority","isInReplyTo","sortedRec","subPunc","multipartText","hasImages","isPGPsigned","subSpamWords","noHost","numEnd","isYelling","isOrigMsg","isDear","isWrote","numLines","bodyCharCt","subExcCt","subQuesCt","numAtt","numRec","perCaps","hour","perHTML","subBlanks","forwards","avgWordLen","numDlr"
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",50,1554,0,0,0,2,4.45103857566766,11,0,12.5,0,4.37662337662338,3
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",26,873,0,0,0,1,7.49128919860627,11,0,8,0,4.55555555555556,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1713,0,0,0,1,7.43609604957397,12,0,8,0,4.81716417910448,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",32,1095,0,0,0,0,5.09090909090909,13,0,18.9189189189189,3.125,4.71428571428571,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",31,1021,0,0,0,1,6.11664295874822,13,0,15.2173913043478,6.45161290322581,4.23493975903614,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",25,718,0,0,0,1,7.62527233115468,13,0,15.2173913043478,12,3.95689655172414,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1288,0,0,0,1,6.3437139561707,13,0,17.0212765957447,0,4.05140186915888,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",39,1182,0,0,0,1,6.61764705882353,14,0,15.2173913043478,12.8205128205128,4.03960396039604,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",126,5989,0,0,0,1,3.16136114160263,14,0,6.25,0,4.40522243713733,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",50,1554,0,0,0,2,4.45103857566766,11,0,12.5,0,4.37662337662338,3
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",19,848,0,0,0,1,5.56464811783961,14,0,11.1111111111111,0,4.84920634920635,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",20,602,0,0,0,1,4.78589420654912,14,0,10.6382978723404,0,4.84146341463415,0
"F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T",27,1026,0,3,0,2,4.45402298850575,15,0,14.8936170212766,40.7407407407407,4.21818181818182,0
"F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F",28,1036,0,0,0,2,3.48837209302326,15,0,15.5555555555556,7.14285714285714,4.03125,0
"F","T","F","F","T","T","F","F","F","T","F","F","F","F","F","F","F",54,1758,0,0,1,2,7.73286467486819,15,0,12.5,37.037037037037,4.1231884057971,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",89,4541,0,0,0,1,2.44179443498013,15,0,17.6470588235294,0,4.89847009735744,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",24,630,0,0,0,1,8.63636363636364,15,0,12,0,4.27184466019417,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",36,1180,0,0,0,1,7.13391739674593,16,0,11.864406779661,16.6666666666667,4.39010989010989,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","T","F","F",30,895,0,0,0,2,7.48091603053435,16,0,12.5,73.3333333333333,4.58041958041958,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",21,466,0,1,0,1,11.4814814814815,16,0,12.1212121212121,0,4.28571428571429,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",26,873,0,0,0,1,7.49128919860627,11,0,8,0,4.55555555555556,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",14,503,0,0,0,1,4.21836228287841,16,0,10,0,4.3804347826087,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",23,506,0,1,0,1,11.8243243243243,16,0,13.5135135135135,17.3913043478261,4.22857142857143,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",33,1416,0,0,0,1,5.36851683348499,16,0,12.5,3.03030303030303,4.13157894736842,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",41,1605,0,0,0,1,5.70719602977668,16,0,12.5,63.4146341463415,4.14041095890411,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","T","F","F",52,1057,0,1,0,1,13.1539611360239,17,0,13.5135135135135,0,4.48993288590604,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",35,906,0,0,0,1,5.52325581395349,18,0,12.5,22.8571428571429,4.35443037974684,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",75,2363,0,0,0,1,2.63440860215054,18,0,14.7058823529412,8,4.49275362318841,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",33,1267,0,0,0,1,6.42857142857143,18,0,16.2162162162162,0,4.10041841004184,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",11,324,0,0,0,3,6.09756097560976,19,0,9.09090909090909,0,4.1,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",22,522,0,0,0,3,4.63917525773196,19,0,9.09090909090909,54.5454545454545,4.04166666666667,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1713,0,0,0,1,7.43609604957397,12,0,8,0,4.81716417910448,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",74,2836,0,0,0,1,5.19031141868512,19,0,13.4615384615385,75.6756756756757,4.25894736842105,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",10,358,0,0,0,1,1.41342756183746,20,0,14.2857142857143,0,4.22388059701493,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",20,898,0,0,0,1,6.80272108843537,20,0,0,0,4.78048780487805,0
"F","T","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F",18,336,0,0,0,1,5.12820512820513,21,0,2.4390243902439,0,4.97872340425532,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",15,264,0,0,0,1,6.03015075376884,21,0,13.6363636363636,6.66666666666667,4.52272727272727,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",29,717,0,0,0,1,3.78006872852234,21,0,12,0,4.89075630252101,0
"F","T","F","F","F","T","F","F","F","F","F","F","T","F","F","F","F",33,906,0,0,0,1,7.03363914373089,21,0,15.3846153846154,12.1212121212121,4.19230769230769,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",62,2713,0,0,0,1,4.8153342683497,22,0,5.88235294117647,4.83870967741935,4.62987012987013,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","T","F","F",62,1895,0,0,0,1,6.11828687967369,22,0,17.0731707317073,0,4.26376811594203,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",44,1502,0,0,0,2,5.02846299810247,23,0,13.7931034482759,40.9090909090909,4.31967213114754,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",32,1095,0,0,0,0,5.09090909090909,13,0,18.9189189189189,3.125,4.71428571428571,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",30,1034,0,0,0,1,5.02450980392157,0,0,5.88235294117647,46.6666666666667,4.53333333333333,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",16,542,0,0,0,1,3.43915343915344,1,0,19.047619047619,12.5,4.2,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",9,340,0,0,0,1,3.87596899224806,1,0,5.88235294117647,33.3333333333333,4.60714285714286,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",106,2251,0,0,0,1,10.5633802816901,7,0,17.0731707317073,2.83018867924528,5.02250803858521,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",30,1137,0,0,0,1,7.03653585926928,8,0,5.88235294117647,66.6666666666667,4.73717948717949,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",23,845,0,0,0,1,3.9453717754173,8,0,5.88235294117647,26.0869565217391,4.27922077922078,0
"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F",5,117,0,0,0,3,6.17283950617284,10,0,17.3913043478261,0,3.375,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",37,1049,0,0,0,1,4.625,15,0,13.3333333333333,37.8378378378378,4.21052631578947,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",25,1143,0,0,0,2,4.46927374301676,15,0,13.6363636363636,4,4.78609625668449,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",21,522,0,0,0,1,10.6217616580311,15,0,6.89655172413793,14.2857142857143,4.02083333333333,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",40,1257,0,0,0,1,2.61723009814613,13,0,10,15,4.05752212389381,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",99,4502,0,1,0,1,3.47365322343244,15,0,15.625,27.2727272727273,4.3,1
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",12,305,0,0,0,1,3.7037037037037,15,0,18.3673469387755,0,4.58490566037736,0
"F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T",45,1151,0,0,0,2,28.47533632287,15,0,18.8679245283019,0,4.82162162162162,2
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",27,858,0,0,0,1,4.10958904109589,15,0,11.1111111111111,37.037037037037,4.26277372262774,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",21,700,0,0,0,1,3.3203125,15,0,13.3333333333333,0,4.33898305084746,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",10,228,0,0,0,1,1.33333333333333,16,0,20,0,5,0
"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F",27,592,0,0,0,2,10.9042553191489,17,0,12.5,7.40740740740741,4.75949367088608,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",32,1207,0,0,0,1,4.09429280397022,17,0,13.3333333333333,0,4.65895953757225,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",24,951,0,1,0,1,4.18535127055306,21,0,16.6666666666667,0,4.64583333333333,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",34,1052,0,1,0,1,4.3656207366985,0,0,17.0212765957447,17.6470588235294,4.46951219512195,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",31,1021,0,0,0,1,6.11664295874822,13,0,15.2173913043478,6.45161290322581,4.23493975903614,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",23,595,0,0,0,1,5.0131926121372,2,0,11.4285714285714,0,4.51190476190476,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",62,2696,0,1,0,3,8.91038696537678,13,0,17.0212765957447,20.9677419354839,4.31648351648352,0
"F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F",36,895,0,0,1,1,10.0591715976331,15,0,15.3846153846154,0,4.44736842105263,0
"F","T","F","F","T","T","F","T","F","F","F","F","F","F","F","F","F",65,1335,0,0,1,1,10.8858057630736,15,0,17.6470588235294,40,4.16444444444444,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",280,16164,0,0,0,1,11.103475358335,15,0,10.5263157894737,2.5,4.6384335154827,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",13,132,0,0,0,1,0,15,0,16.6666666666667,0,3.18181818181818,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",28,689,0,0,0,1,10.4166666666667,15,0,17.6470588235294,0,4.57142857142857,0
"F","F","F","F","F","T","F","F","F","F","T","F","F","F","F","F","F",61,2277,1,0,2,1,3.80116959064327,16,0,15.7894736842105,0,4.78991596638655,0
"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F",102,4408,0,0,0,2,2.51593425025159,17,0,13.75,0,4.43601190476191,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",46,1382,0,0,0,1,21.9934994582882,2,0,11.5384615384615,0,4.66161616161616,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",25,718,0,0,0,1,7.62527233115468,13,0,15.2173913043478,12,3.95689655172414,0
"F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T",83,2781,0,0,0,2,4.08457472369053,21,0,19.047619047619,10.8433734939759,5.02657004830918,0
"F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","T",18,345,0,0,0,2,5.26315789473684,15,0,5.88235294117647,0,4.29032258064516,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",25,727,0,0,0,1,2.59965337954939,20,0,19.047619047619,16,4.43846153846154,0
"F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F",30,941,0,0,0,2,2.50347705146036,20,0,19.047619047619,26.6666666666667,3.90760869565217,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",69,3591,0,0,0,2,5.21949533356378,22,0,20.8333333333333,1.44927536231884,4.49223602484472,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",14,327,0,0,0,1,1.93798449612403,20,0,19.047619047619,28.5714285714286,4.86792452830189,0
"F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","T",11,193,0,0,0,2,10.9375,23,0,20.5882352941177,0,4,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",84,3883,0,0,0,2,2.1759697256386,23,0,14.5833333333333,0,5.189852700491,2
"F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","T",28,1014,0,0,0,2,3.68956743002545,8,0,15.3846153846154,21.4285714285714,4.39106145251397,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",14,331,0,0,0,3,4.36507936507936,1,0,17.3913043478261,21.4285714285714,4.3448275862069,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1288,0,0,0,1,6.3437139561707,13,0,17.0212765957447,0,4.05140186915888,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",22,614,0,0,0,1,6.60592255125285,1,0,15.3846153846154,0,3.75213675213675,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",42,1865,0,0,0,2,5.37102473498233,2,0,17.3913043478261,35.7142857142857,4.22388059701493,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",8,247,0,0,0,1,5.40540540540541,3,0,17.3913043478261,37.5,3.93617021276596,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",18,711,0,0,0,1,3.47490347490348,6,0,17.3913043478261,11.1111111111111,4.66666666666667,0
